shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1304709,40.726589114836,-74.056683141556,33,4228.31291896
p_1304709,40.727285736153,-74.057337761269,34,4323.40675471
p_1304709,40.728074608595,-74.058199888916,35,4437.33202732
p_1304709,40.728996040744,-74.059223466965,36,4571.30010716
p_1304709,40.729685857581,-74.060038214325,37,4674.28277103
p_1304709,40.730470459438,-74.060979171333,38,4792.223746
p_1304709,40.73101261602,-74.061599613136,39,4872.04756864
p_1304709,40.731721421853,-74.062386993424,40,4975.09983912
p_1304709,40.732784092169,-74.063192363786,41,5111.31468345
p_1305093,40.749114,-73.988273,1,0
p_1305093,40.747609531294,-73.98938738623,2,191.75482622
p_1305093,40.745953428053,-73.990544878296,3,400.03090966
p_1305093,40.744652691968,-73.991536875641,4,567.01582091
p_1305093,40.743303108639,-73.992516317444,5,738.20037744
p_1305093,40.7429,-73.992805,6,789.17477067
p_1305093,40.742912,-73.992797,7,790.6688744
p_1305093,40.742373088497,-73.993207493393,8,859.83217961
p_1305093,40.739914186254,-73.994975306885,9,1171.04925747
p_1305093,40.738889921445,-73.995715596573,10,1300.84701913
p_1305093,40.737975823747,-73.996414320099,11,1418.26688112
p_1305093,40.737354,-73.996849,12,1496.47423912
p_1305093,40.737361,-73.996841,13,1497.50423585
p_1305093,40.736202622701,-73.997659249985,14,1643.5332032
p_1305093,40.735126148858,-73.99848045369,15,1781.74290149
p_1305093,40.734544587943,-73.99889425264,16,1855.17711514
p_1305093,40.734359599612,-73.999038114086,17,1879.04510684
p_1305093,40.734249,-73.999107,18,1892.63578009
p_1305093,40.734096041009,-73.999482476196,19,1928.61508909
p_1305093,40.733917817063,-74.00069030423,20,2032.54522461
p_1305093,40.733818495684,-74.001435347221,21,2096.4401631
p_1305093,40.733714009819,-74.002191152115,22,2161.33091909
p_1305093,40.733615,-74.002822,23,2215.74293484
p_1305093,40.73336,-74.004241,24,2338.90980223
p_1305093,40.733139,-74.005828,25,2475.19707533
p_1305093,40.733055,-74.006408,26,2525.07188272
p_1305093,40.732933,-74.007072,27,2582.7754543
p_1305093,40.73295,-74.00707,28,2584.67082779
p_1305093,40.7317422594023,-74.0310407302919,29,4614.025701
p_1305093,40.7316254699352,-74.0318498699669,30,4683.59767208
p_1305093,40.7314574364551,-74.0324205978352,31,4735.29531672
p_1305093,40.7311703249693,-74.0327521231708,32,4777.73208897
p_1305093,40.730685821528,-74.0328705250768,33,4832.45738547
p_1305093,40.72699,-74.03383,34,5250.80095983
p_1305093,40.7177198112537,-74.0355320545759,35,6290.23720385
p_1305093,40.7175362625768,-74.0357215788022,36,6316.1580642
p_1305093,40.7174709683811,-74.0361949603523,37,6356.80757858
